Date,AAPL,APX,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM
04-09-2014,-0.0083,-0.0054,-0.0038,0.0033,-0.0052,-0.0083,-0.0088,0.0027,0.0104,-0.0066
05-09-2014,0.0087,-0.0004,-0.0061,-0.0026,0.0036,0.0047,0.0089,-0.0018,0.0187,0.0027
08-09-2014,-0.0062,-0.0076,0.0264,-0.0058,-0.0020,-0.0093,-0.0042,0.0020,-0.0086,-0.0055
09-09-2014,-0.0038,-0.0116,0.0018,-0.0047,-0.0036,-0.0082,-0.0106,-0.0150,-0.0208,-0.0008
10-09-2014,0.0307,0.0058,0.0001,-0.0137,0.0028,-0.0072,-0.0009,0.0139,0.0036,0.0082
11-09-2014,0.0043,0.0001,-0.0045,-0.0032,0.0100,-0.0036,0.0050,0.0063,-0.0003,0.0009
12-09-2014,0.0023,-0.0088,-0.0054,-0.0054,-0.0008,-0.0094,-0.0033,0.0120,-0.0043,-0.0023
15-09-2014,-0.0003,-0.0030,-0.0050,-0.0015,-0.0040,0.0129,0.0046,0.0044,0.0061,0.0028
16-09-2014,-0.0076,0.0112,0.0080,0.0000,0.0064,0.0058,0.0021,0.0003,0.0100,0.0060
17-09-2014,0.0071,0.0080,0.0035,-0.0083,-0.0006,-0.0019,0.0007,0.0042,0.0105,-0.0008
18-09-2014,0.0021,0.0116,0.0064,0.0034,0.0006,-0.0047,0.0001,0.0166,0.0095,0.0049
19-09-2014,-0.0082,-0.0044,0.0060,-0.0175,-0.0008,0.0053,0.0017,-0.0090,0.0027,0.0013
22-09-2014,0.0010,-0.0079,-0.0057,-0.0157,-0.0091,-0.0105,-0.0133,-0.0049,-0.0049,-0.0046
23-09-2014,0.0156,-0.0076,-0.0096,-0.0090,-0.0108,-0.0035,-0.0110,-0.0011,-0.0044,-0.0077
24-09-2014,-0.0087,0.0024,0.0094,0.0121,0.0113,-0.0054,0.0129,0.0147,0.0167,0.0036
25-09-2014,-0.0381,-0.0199,-0.0112,-0.0167,-0.0176,-0.0141,-0.0154,-0.0198,-0.0120,-0.0172
26-09-2014,0.0294,0.0186,0.0122,0.0087,0.0187,0.0065,0.0076,0.0056,0.0102,0.0056
29-09-2014,-0.0064,-0.0048,0.0006,-0.0055,0.0048,-0.0076,0.0010,-0.0070,0.0004,-0.0022
30-09-2014,0.0064,-0.0047,-0.0108,-0.0080,0.0020,-0.0102,0.0023,-0.0014,-0.0123,0.0010
01-10-2014,-0.0156,-0.0198,-0.0213,-0.0143,-0.0056,-0.0140,-0.0173,-0.0156,-0.0078,-0.0140
02-10-2014,0.0073,0.0007,-0.0040,-0.0020,0.0012,-0.0046,-0.0080,0.0121,0.0134,-0.0014
03-10-2014,-0.0028,0.0150,0.0176,-0.0002,0.0100,0.0051,0.0191,0.0284,0.0141,0.0094
06-10-2014,0.0000,-0.0015,-0.0008,0.0063,-0.0119,0.0032,0.0012,-0.0031,-0.0030,0.0020
